#1 observer-frame phase [day]
#2 SC B mag (AB)
#3 SC V mag (AB)
#4 SC R mag (AB)
#5 SC i mag (AB)
#6 SC z mag (AB)
-200.000  7.9950  7.9950  7.9950  7.9950  7.9950
-13.750  7.9950  7.9950  7.9950  7.9950  7.9950
-12.500  5.5020  5.7490  5.9920  6.2340  6.5060
 -6.250  1.3780  1.0340  1.0280  0.9920  1.2090
  0.000  0.9950  0.1460  0.0300  0.0000  0.1790
  6.250  1.4090  0.4870  0.2740  0.1980  0.3140
 12.500  1.8780  0.6930  0.3490  0.2680  0.3530
 31.250  2.7990  1.3790  0.8090  0.6630  0.7070
 62.500  3.4510  1.8820  1.1230  0.8770  0.8700
 93.750  4.7190  2.3600  1.3740  0.8630  0.6660
125.000  5.8290  3.4700  2.4840  1.9730  1.7760
156.250  6.9490  4.5900  3.6040  3.0930  2.8960
500.000  9.4490  7.0900  6.1040  5.5930  5.3960
500.000  9.4490  7.0900  6.1040  5.5930  5.3960
624.438  7.9950  7.9950  7.0090  6.4980  6.3010
760.012  7.9950  7.9950  7.9950  7.4840  7.2870
830.275  7.9950  7.9950  7.9950  7.9950  7.7980
857.363  7.9950  7.9950  7.9950  7.9950  7.9950
