IAUC_ID	SDSS_ID	U_mag_app	U_mag	U_sf	B_mag_app	B_mag	B_sf	V_mag_app	V_mag	V_sf	R_mag_app	R_mag	R_sf	I_mag_app	I_mag	I_sf	chi_square	redshift	lumi_dis	B_max_day
SN2005hj		17.227	-19.777	1.245	17.721	-19.282	1.169	17.71	-19.293	1.123	17.883	-19.12	1.009	18.016	-18.988	1.484	1.332	0.058	37.0045	53681.5
SN2005hn		0	0	0	19.465	-19.013	0.983	19.575	-18.903	1.022	19.521	-18.957	1.022	19.663	-18.815	1.17	0.778	0.112	38.4787	53649.9
SN2005ho		17.84	-19.34	1.158	17.968	-19.212	1.054	17.963	-19.218	1.088	17.961	-19.219	1.013	18.111	-19.069	1.042	1.95	0.0628	37.1813	53657.8
SN2005hp		-9.414	-48.909	1	-9.415	-48.911	1	-9.905	-49.4	-3.731	0	0	0	0	0	0	0.676	0.175	39.4955	53656.2
SN2005hr		19.263	-19.295	1.25	19.422	-19.135	1.194	19.441	-19.117	1.16	19.566	-18.991	1.117	19.674	-18.883	0.942	0.933	0.116	38.5581	53665
SN2005ht		19.997	-19.699	1.16	20.379	-19.317	1.074	20.674	-19.022	1.138	0	0	0	0	0	0	0.443	0.191	39.6969	53664.1
SN2005hv		20.358	-19.07	1.076	20.795	-18.633	1.056	20.726	-18.702	0.92	20.6	-18.828	1.489	0	0	0	0.425	0.17	39.4289	53660.9
SN2005hx		19.483	-19.113	0.838	19.578	-19.018	1.005	19.646	-18.95	1.078	19.671	-18.924	1.021	19.944	-18.652	1.075	0.832	0.118	38.5968	53664.6
SN2005hy		19.877	-18.938	1.902	19.767	-19.048	1.231	19.899	-18.917	1.199	19.944	-18.871	1.316	20.1	-18.715	0.928	0.619	0.13	38.8165	53677.3
SN2005id		19.702	-19.981	1.179	20.272	-19.411	1.002	20.511	-19.173	1.172	20.516	-19.168	1.861	0	0	0	0.679	0.19	39.6848	53665.8
SN2005ik		21.259	-19.457	1.305	21.896	-18.82	0.996	21.983	-18.732	1.041	21.307	-19.409	1.893	0	0	0	0.391	0.296	40.7168	53673.1
SN2005il		20.212	-19.585	0.967	20.949	-18.848	1.112	20.98	-18.817	1.234	0	0	0	0	0	0	0.955	0.1995	39.7974	53621.1
SN2005im		0	0	0	22.648	-15.967	0.725	22.028	-16.587	1.152	21.517	-17.098	1.956	0	0	0	1.751	0.119	38.6159	53658.9
SN2005is		19.922	-19.563	0.974	20.307	-19.178	0.851	20.393	-19.092	0.784	20.192	-19.293	1.139	0	0	0	0.775	0.1743	39.4863	53661.5
SN2005iu		18.202	-19.793	1.397	18.544	-19.451	1.04	18.759	-19.236	1.062	18.913	-19.082	0.969	19.091	-18.904	1.363	2.178	0.0904	37.996	53677.8
SN2005iw		21.717	-18.818	1.374	21.891	-18.643	1.447	22.032	-18.503	1.998	0	0	0	0	0	0	0.793	0.274	40.5356	53672.9
SN2005ix		20.234	-20.133	1.086	20.925	-19.441	0.995	21.152	-19.214	0.964	20.975	-19.392	1.511	0	0	0	0.474	0.255	40.3675	53673.8
SN2005iz		20.434	-19.38	0.919	20.859	-18.954	0.909	20.951	-18.863	0.916	0	0	0	0	0	0	0.549	0.201	39.8147	53662.2
SN2005jc		20.243	-19.716	1.062	20.817	-19.142	1.093	20.892	-19.067	0.982	21.086	-18.873	1.908	0	0	0	0.398	0.214	39.9597	53678.7
SN2005jd		21.056	-19.843	1.167	21.564	-19.335	0.887	21.395	-19.505	0.802	0	0	0	0	0	0	0.853	0.32	40.9004	53672.7
SN2005jf		20.856	-19.899	1.789	21.291	-19.464	1.26	21.1	-19.655	0.734	0	0	0	0	0	0	1.008	0.301	40.7562	53676.4
