#1 observer-frame phase [day]
#2 HSC g mag (AB)
#3 HSC r mag (AB)
#4 HSC i mag (AB)
#5 HSC z mag (AB)
#6 HSC y mag (AB)
-200.000  8.5400  8.5400  8.5400  8.5400  8.5400
-13.200  8.5400  8.5400  8.5400  8.5400  8.5400
-12.000  5.6800  6.0190  6.3470  6.5960  6.7550
 -6.000  1.1810  1.1000  0.9950  1.3220  1.3610
  0.000  0.4330  0.1010  0.0000  0.2560  0.3380
  6.000  0.8030  0.3440  0.1910  0.3760  0.4050
 12.000  1.0920  0.4210  0.2640  0.4020  0.4990
 30.000  1.8980  0.8940  0.6470  0.7350  0.6980
 60.000  2.5030  1.2090  0.8500  0.8890  0.7970
 90.000  3.1390  1.4720  0.7820  0.6690  0.5950
120.000  4.2490  2.5820  1.8920  1.7790  1.7050
150.000  5.3690  3.7020  3.0120  2.8990  2.8250
480.000  7.8690  6.2020  5.5120  5.3990  5.3250
568.572  8.5400  6.8730  6.1830  6.0700  5.9960
788.616  8.5400  8.5400  7.8500  7.7370  7.6630
879.696  8.5400  8.5400  8.5400  8.4270  8.3530
894.612  8.5400  8.5400  8.5400  8.5400  8.4660
904.380  8.5400  8.5400  8.5400  8.5400  8.5400
